Transaction_Amount,Transaction_Time,Customer_Age,Is_International,Transaction_Type,Fraud,Merchant_Category,Transaction_Distance
513.8829576340245,9.563958952172783,50,0,Retail,0,Clothing,27.068086741710186
223.84809117925343,2.315247352813186,30,0,Withdrawal,0,Clothing,311.28314185333625
542.7132274398746,6.7345835325094,81,0,Retail,0,Grocery,52.62162561309719
69.65864445549434,9.615684471272697,67,0,Retail,0,Grocery,101.56875672514082
153.69315298759665,9.769383643976582,50,0,Online,0,Health,18.294318590682035
225.49300266212208,15.304201644684941,83,0,Online,0,Automotive,46.75385875770066
285.48669554305894,2.7636052585998057,59,0,Retail,0,Grocery,103.17718657967717
182.87350532930336,2.702555523455736,77,0,Withdrawal,0,Health,426.4488807650684
230.7871920769045,4.165038789143133,60,1,Transfer,0,Grocery,96.60958081433473
213.56170343497843,3.9775991441319904,19,0,Transfer,0,Grocery,204.37718470454828
443.5287736069709,4.218225240904663,37,0,Online,0,Automotive,326.31279806009485
141.5590727923456,0.12540251371073907,29,0,Withdrawal,0,Electronics,236.94423112996614
6.598227247981709,6.580878522842364,22,0,Withdrawal,0,Grocery,396.809396448297
266.0901370219989,13.57658765258374,27,0,Withdrawal,0,Health,160.07748343623385
664.9635365178513,23.812603927339666,45,0,Online,0,Electronics,345.078685530398
40.5894836136781,9.865628515596764,83,0,Transfer,0,Clothing,302.56596255516155
453.19254728884107,20.305335291640812,18,0,Retail,0,Automotive,364.5571122016783
437.42837325258,5.027315438529973,35,0,Withdrawal,0,Clothing,17.541669671077788
76.31872595940202,22.554473447076152,68,0,Retail,0,Grocery,369.85858453068755
19.43586797109206,0.40848577787952234,18,0,Withdrawal,0,Electronics,363.5527179995738
381.29273276160546,0.6511970494258046,41,1,Withdrawal,0,Health,156.0851458092452
375.0707863471274,8.689651225621915,63,0,Transfer,0,Clothing,442.84909981945805
64.64046681277486,21.007568624075024,27,0,Transfer,0,Health,454.4604128346712
42.34343956332016,13.606187374457008,68,0,Retail,0,Grocery,165.85123876094664
109.14924988206134,0.8432298354213579,56,0,Transfer,0,Automotive,54.982273654410385
116.26729958591804,20.168409843315306,49,0,Transfer,0,Grocery,353.40108068176716
33.07576246797302,3.892348298704529,25,0,Online,0,Health,173.4316610409029
140.68300643972492,9.023951252212964,88,0,Withdrawal,0,Grocery,330.6097229903555
75.73114379835553,2.04961073376289,88,0,Withdrawal,0,Grocery,249.9965475767933
221.77150528787314,22.349021254463363,80,1,Retail,0,Clothing,360.8699238480595
163.05476701744888,0.14969834339371335,69,0,Online,0,Automotive,224.62553193621704
228.30513119960463,21.082957714873977,61,0,Online,0,Health,119.23290179389478
97.45596747516227,4.040687665161582,63,0,Withdrawal,0,Grocery,242.14472030815415
124.0860907610212,4.854185057885323,67,1,Online,0,Grocery,330.9571239124829
82.18768807413137,5.297167271808459,66,1,Online,0,Electronics,279.4239592225041
28.380914241352446,3.416320760199172,55,1,Withdrawal,0,Grocery,43.18795966248751
32.36493872075361,3.434323715324285,66,0,Retail,1,Automotive,472.3947169278484
233.834855437116,20.91814899632749,85,0,Transfer,0,Automotive,212.72792956824543
279.6228309337524,10.010007805752453,61,0,Online,0,Clothing,255.54255190096742
183.87899802436647,8.704239367564295,76,1,Online,0,Health,453.0726771483189
224.19156066178786,5.891126575649013,48,0,Transfer,0,Clothing,16.00581430518433
92.96888103775765,21.717850422402044,39,0,Withdrawal,0,Automotive,121.18022217422015
129.59414982464625,14.03988614493844,24,0,Retail,0,Health,261.9053183652825
174.02324098838605,8.285590123904882,86,0,Transfer,0,Electronics,483.5028896606405
56.96101691678278,4.744248553299822,48,0,Online,0,Clothing,321.4711329023343
312.1096560925463,21.910062880944274,72,1,Online,0,Automotive,258.00227736190857
234.30116404722781,4.915449776645313,78,1,Transfer,0,Health,446.2418674779319
36.6052055478024,1.5678958167110553,83,0,Withdrawal,0,Health,160.81890410287374
369.8628764840713,15.132857138502676,58,0,Withdrawal,0,Electronics,110.2329578572982
144.50085812547985,6.6502643261022225,25,0,Retail,0,Health,438.2897573257405
119.8471171919673,4.269411825190131,57,1,Retail,0,Automotive,150.08149046942404
379.53687315876465,14.522186866947852,26,0,Withdrawal,0,Clothing,265.8706486013392
217.03644243263764,10.952929323340474,46,0,Online,0,Grocery,24.724841545930797
275.5383983032658,3.76968712402034,34,1,Online,0,Electronics,134.1252407485996
183.5937010550317,13.786954406874951,38,1,Withdrawal,0,Automotive,429.86174226154867
224.13614649734637,16.013559511372822,22,0,Transfer,0,Automotive,212.62384773610577
50.56886991905384,16.650639697931346,53,0,Online,0,Grocery,427.9189264088927
325.7530399089894,6.051452326016838,77,0,Retail,0,Electronics,36.36007137514591
118.76836652811377,12.452515552820547,51,0,Retail,0,Health,256.4220351463358
87.59559472397049,8.10033242692894,68,0,Online,0,Grocery,113.35265941014816
542.7135026310132,22.240172606160073,85,0,Retail,0,Clothing,0.16057346264847228
313.134260718382,11.549316113738335,23,0,Retail,0,Health,26.626947520486333
134.40654920735722,13.693275270536303,49,0,Retail,0,Grocery,0.10835917654661298
293.21032094525094,12.753279236584978,68,1,Transfer,0,Automotive,281.50491624312735
259.178087247006,23.952317548067352,82,1,Transfer,0,Electronics,454.144109071996
316.32194735932086,21.5025269095725,44,1,Transfer,0,Clothing,467.0590876525927
220.1392201016916,23.697779455219937,32,0,Transfer,0,Health,259.627981962369
61.211800276209786,5.7693022680930595,43,0,Transfer,0,Health,279.79025956196955
208.21001930998534,11.576783424188987,45,0,Online,0,Grocery,290.0205381115174
403.2402202799618,10.86736602573618,53,0,Retail,0,Clothing,150.26880468819274
116.56414285241961,16.83580951766747,41,1,Retail,0,Electronics,295.9434723805906
537.541103400229,17.342043851425046,23,1,Transfer,0,Automotive,30.110009031575736
85.72064564149767,10.040544748609342,20,0,Transfer,0,Grocery,441.2846600581859
246.4262906846065,12.640533208299107,70,1,Retail,0,Electronics,308.62318813576996
97.31845553955378,11.175641234918142,35,0,Online,0,Automotive,154.67342107238667
270.13384276683354,18.374303881822293,57,1,Withdrawal,0,Health,343.82268642772607
223.1964544684282,11.86585056715371,89,0,Online,0,Clothing,143.3763273762659
61.63247615837314,16.272839547026205,49,0,Withdrawal,0,Electronics,329.03124630145396
189.1234076649081,19.75507957623915,46,0,Retail,0,Electronics,405.9186052627872
262.825715690637,16.27871784979952,29,0,Online,0,Grocery,275.91934788788205
74.41455889256908,8.740118259883035,78,0,Withdrawal,0,Electronics,221.53544060054492
356.46213375369683,11.482632944440255,79,0,Withdrawal,0,Clothing,81.17225978149861
158.01103214257475,11.189629160215569,46,0,Retail,0,Clothing,285.3214258884112
500.13898138136074,23.022459331581715,45,0,Withdrawal,0,Clothing,104.53155024113059
154.27685932768935,10.457824276430216,80,0,Withdrawal,0,Clothing,130.1747104880631
94.84753645397791,21.92601025463141,21,0,Withdrawal,0,Electronics,36.21547873459474
58.0841240468854,21.831382788787884,51,0,Withdrawal,0,Clothing,209.71547859096273
116.29312031115897,17.917129000764934,77,0,Online,0,Automotive,450.78511960778985
110.28443843695364,4.849181537377022,80,0,Retail,0,Health,103.16552777539117
560.4808341284312,10.203574454444094,46,0,Online,1,Automotive,478.0388044359183
53.24064446840075,15.480903562382245,76,0,Transfer,0,Health,6.13564645550052
301.1654475030565,6.162835968993536,44,0,Online,0,Electronics,38.08830861034246
68.01638156929306,3.8497977473606246,84,0,Online,0,Grocery,380.43471556729935
36.205918594274124,11.573845593012749,76,0,Transfer,0,Clothing,202.42054080222715
316.0552838871568,14.395956256512246,37,0,Transfer,0,Electronics,276.10962808571844
211.29336407520373,15.536267626163255,30,0,Withdrawal,0,Health,106.41156387184935
65.62796602362617,14.676820429227714,61,1,Online,0,Grocery,277.4762381812059
271.05427071447895,6.993969016808915,86,0,Transfer,0,Grocery,181.59041755555748
82.97476841730403,8.35676701807785,23,0,Withdrawal,0,Clothing,460.44657690963425
92.55486154670504,9.190083641231489,72,1,Transfer,0,Automotive,160.21196298085937
125.0160433974615,4.908845780613977,68,0,Retail,0,Automotive,497.1478113042392
44.72042073935338,4.966370926443637,38,0,Transfer,1,Automotive,172.1301119960467
261.11536655658017,11.00566061575002,79,0,Withdrawal,0,Grocery,216.01149015132975
33.59855744469816,3.0814730327994724,45,0,Withdrawal,0,Clothing,240.22358550290025
60.8825042716101,2.639256918061845,21,0,Withdrawal,0,Grocery,402.19507050299967
173.49226319850345,12.131760637288334,82,0,Withdrawal,0,Electronics,170.0163695525055
49.2759297012677,1.143293644325352,64,0,Retail,0,Automotive,326.428881394601
203.57462909450095,9.659360862558309,80,0,Withdrawal,0,Automotive,480.3713362979483
243.75973586917863,17.968390576891334,53,1,Retail,0,Electronics,339.12793718359586
145.48658573988098,23.38216795838902,55,0,Transfer,0,Grocery,236.16351189327656
405.60454528484684,11.99704201468418,19,0,Online,0,Electronics,281.27108429787506
123.4043153098286,6.171354881076148,63,0,Retail,1,Electronics,498.6209983441797
137.6336750386531,15.070904196662632,42,0,Online,0,Grocery,124.46874180171218
352.7554150858849,3.478591059774743,41,0,Online,0,Clothing,355.38752569229104
266.38036359399604,22.33195135536746,48,0,Online,0,Health,416.1276154821503
163.54586155696097,18.12104949078305,26,0,Retail,0,Automotive,488.9862894688343
88.39032475486219,3.6158051807376657,78,0,Transfer,0,Clothing,202.92579274250994
205.47962976217917,2.3441417601090384,49,0,Online,0,Automotive,268.77595049171885
154.31390986887294,22.230799776075653,86,1,Withdrawal,0,Health,97.5612842394511
313.94762412319955,22.94528533395356,61,0,Retail,0,Electronics,27.232274749328433
211.06518564457585,6.032228122320771,77,0,Withdrawal,0,Health,369.4109171122389
72.05498753953162,4.124781498552638,29,0,Transfer,0,Grocery,235.20707291798732
119.13637285569085,16.550735925203547,47,0,Withdrawal,0,Electronics,89.18242499979112
661.577007423224,23.848849257655168,35,0,Transfer,1,Electronics,331.2859053755372
161.27059759684218,6.1863879624797,86,0,Online,0,Grocery,66.79212255368184
113.69487946630383,8.660644588842285,20,1,Retail,0,Electronics,381.96633614774106
236.87335955362983,8.636891405999135,30,0,Retail,0,Electronics,404.6632565184965
187.69904827317927,11.170184446643216,24,1,Online,0,Clothing,50.50323418768621
198.4739520754015,6.29759805972553,31,0,Withdrawal,0,Automotive,122.5451870105252
42.13441338688501,13.413756766381885,64,0,Online,0,Health,394.33583665449817
110.74706640117607,19.95932918441704,25,0,Withdrawal,0,Electronics,380.1995603210587
105.94787321485244,9.608663302860432,69,0,Online,0,Clothing,442.44124246460075
226.35502673552762,6.724200646239328,24,0,Retail,0,Clothing,339.4629929019539
57.528798690146786,22.427735548579296,88,0,Withdrawal,0,Electronics,147.44258739103373
289.22897140631244,13.193905276446088,84,1,Retail,0,Health,273.7926381097611
