Transaction_Amount,Transaction_Time,Customer_Age,Is_International,Fraud,Transaction_Distance,Transaction_Type_Online,Transaction_Type_Retail,Transaction_Type_Transfer,Transaction_Type_Withdrawal,Merchant_Category_Automotive,Merchant_Category_Clothing,Merchant_Category_Electronics,Merchant_Category_Grocery,Merchant_Category_Health
513.8829576340245,9.563958952172783,50,0,0,27.068086741710186,0,1,0,0,0,1,0,0,0
223.84809117925343,2.315247352813186,30,0,0,311.28314185333625,0,0,0,1,0,1,0,0,0
542.7132274398746,6.7345835325094,81,0,0,52.62162561309719,0,1,0,0,0,0,0,1,0
69.65864445549434,9.615684471272697,67,0,0,101.56875672514082,0,1,0,0,0,0,0,1,0
153.69315298759665,9.769383643976582,50,0,0,18.294318590682035,1,0,0,0,0,0,0,0,1
225.49300266212208,15.304201644684941,83,0,0,46.75385875770066,1,0,0,0,1,0,0,0,0
285.48669554305894,2.7636052585998057,59,0,0,103.17718657967717,0,1,0,0,0,0,0,1,0
182.87350532930336,2.702555523455736,77,0,0,426.4488807650684,0,0,0,1,0,0,0,0,1
230.7871920769045,4.165038789143133,60,1,0,96.60958081433473,0,0,1,0,0,0,0,1,0
213.56170343497843,3.9775991441319904,19,0,0,204.37718470454828,0,0,1,0,0,0,0,1,0
443.5287736069709,4.218225240904663,37,0,0,326.31279806009485,1,0,0,0,1,0,0,0,0
141.5590727923456,0.12540251371073907,29,0,0,236.94423112996614,0,0,0,1,0,0,1,0,0
6.598227247981709,6.580878522842364,22,0,0,396.809396448297,0,0,0,1,0,0,0,1,0
266.0901370219989,13.57658765258374,27,0,0,160.07748343623385,0,0,0,1,0,0,0,0,1
664.9635365178513,23.812603927339666,45,0,0,345.078685530398,1,0,0,0,0,0,1,0,0
40.5894836136781,9.865628515596764,83,0,0,302.56596255516155,0,0,1,0,0,1,0,0,0
453.19254728884107,20.305335291640812,18,0,0,364.5571122016783,0,1,0,0,1,0,0,0,0
437.42837325258,5.027315438529973,35,0,0,17.541669671077788,0,0,0,1,0,1,0,0,0
76.31872595940202,22.554473447076152,68,0,0,369.85858453068755,0,1,0,0,0,0,0,1,0
19.43586797109206,0.40848577787952234,18,0,0,363.5527179995738,0,0,0,1,0,0,1,0,0
381.29273276160546,0.6511970494258046,41,1,0,156.0851458092452,0,0,0,1,0,0,0,0,1
375.0707863471274,8.689651225621915,63,0,0,442.84909981945805,0,0,1,0,0,1,0,0,0
